offset_hou,offset_sui,length,text,translation,note
0x1984b|0x1aeaa|0x1ba18|0x1caff,0x1b322|0x1d362|0x1e3d6|0x1fbfa,8,prologue,序幕,
0x1986f|0x1aece|0x1ba3c|0x1cb49,0x1b35c|0x1d39c|0x1e410|0x1fc6e,8,epilogue,尾声,
0x198a3,0x1b3a6,8,1日目 #1,第1天 #1,
0x198c7,0x1b3e0,8,2日目 #1,第2天 #1,
0x198eb,0x1b41a,8,3日目 #1,第3天 #1,
0x1990f,0x1b454,8,3日目 #2,第3天 #2,
0x19933,0x1b48e,8,4日目 #1,第4天 #1,
0x1996f,0x1b4e0,9,4日目 #2A,第4天 #2A,
0x199a4,0x1b52a,9,4日目 #2B,第4天 #2B,
0x199d9,0x1b574,9,4日目 #2C,第4天 #2C,
0x19a16,0x1b5c6,9,4日目 #2D,第4天 #2D,
0x19ac3,0x1b688,8,4日目 #3,第4天 #3,
0x19ae7,0x1b6c2,8,5日目 #1,第5天 #1,
0x19b0b,0x1b6fc,8,5日目 #2,第5天 #2,
0x19b2f,0x1b736,8,6日目 #1,第6天 #1,
0x19b63,0x1b780,9,6日目 #2A,第6天 #2A,
0x19b98,0x1b7ca,9,6日目 #2B,第6天 #2B,
0x19bf5,0x1b83c,8,7日目 #1,第7天 #1,
0x19c19,0x1b876,8,8日目 #1,第8天 #1,
0x19c3d,0x1b8b0,8,8日目 #2,第8天 #2,
0x19c61,0x1b8ea,14,パートナー選択,选择伙伴,
0x19ca3,0x1b93c,7,レナ #1,蕾娜 #1,
0x19cc6,0x1b976,7,レナ #2,蕾娜 #2,
0x19ce1,0x1b9a8,10,綿流しA #1,绵流A #1,
0x19d77,0x1ba52,10,沙都子1 #1,沙都子1 #1,
0x19d9d,0x1ba8c,10,沙都子1 #2,沙都子1 #2,
0x19dc3,0x1bac6,10,沙都子2 #1,沙都子2 #1,
0x19de9,0x1bb00,10,沙都子2 #2,沙都子2 #2,
0x19e0f,0x1bb3a,10,沙都子3 #1,沙都子3 #1,
0x19e35,0x1bb74,10,沙都子3 #2,沙都子3 #2,
0x19e5b,0x1bbae,10,沙都子4 #1,沙都子4 #1,
0x19e81,0x1bbe8,10,沙都子4 #2,沙都子4 #2,
0x19ea7,0x1bc22,10,沙都子5 #1,沙都子5 #1,
0x19ecd,0x1bc5c,10,沙都子5 #2,沙都子5 #2,
0x19f53,0x1bcf6,8,魅音1 #1,魅音1 #1,
0x19f77,0x1bd30,8,魅音1 #2,魅音1 #2,
0x19f9b,0x1bd6a,8,魅音2 #1,魅音2 #1,
0x19fcf,0x1bdb4,9,魅音2 #2A,魅音2 #2A,
0x1a004,0x1bdfe,9,魅音2 #2B,魅音2 #2B,
0x1a061,0x1be70,8,魅音3 #1,魅音3 #1,
0x1a085,0x1beaa,8,魅音4 #1,魅音4 #1,
0x1a0a9,0x1bee4,8,魅音4 #2,魅音4 #2,
0x1a0cd,0x1bf1e,8,魅音5 #1,魅音5 #1,
0x1a0f1,0x1bf58,10,綿流しB #1,绵流B #1,
0x1a13f,0x1bfba,7,夏美 #1,夏美 #1,
0x1a16a,0x1bffc,11,鬼隠し編 #1,鬼隐篇 #1,
0x1a191,0x1c036,11,鬼隠し編 #2,鬼隐篇 #2,
0x1a1b8,0x1c070,11,鬼隠し編 #3,鬼隐篇 #3,
0x1a1df,0x1c0aa,11,鬼隠し編 #4,鬼隐篇 #4,
0x1a206,0x1c0e4,11,鬼隠し編 #5,鬼隐篇 #5,
0x1a22d,0x1c11e,11,鬼隠し編 #6,鬼隐篇 #6,
0x1a254,0x1c158,11,鬼隠し編 #7,鬼隐篇 #7,
0x1a27b,0x1c192,11,鬼隠し編 #8,鬼隐篇 #8,
0x1a2a2,0x1c1cc,11,鬼隠し編 #9,鬼隐篇 #9,
0x1a2c9,0x1c206,12,鬼隠し編 #10,鬼隐篇 #10,
0x1a2f1,0x1c240,12,鬼隠し編 #11,鬼隐篇 #11,
0x1a319,0x1c27a,12,鬼隠し編 #12,鬼隐篇 #12,
0x1a341,0x1c2b4,12,鬼隠し編 END,鬼隐篇 END,
0x1a361,0x1c2e6,21,鬼隠し編 お疲れさま会,鬼隐篇 慰劳会,
0x1a38a,0x1c318,11,盥回し編 #1,盥回篇 #1,
0x1a3b1,0x1c352,11,盥回し編 #2,盥回篇 #2,
0x1a3d8,0x1c38c,11,盥回し編 #3,盥回篇 #3,
0x1a3ff,0x1c3c6,11,盥回し編 #4,盥回篇 #4,
0x1a426,0x1c400,11,盥回し編 #5,盥回篇 #5,
0x1a44d,0x1c43a,11,盥回し編 #6,盥回篇 #6,
0x1a474,0x1c474,11,盥回し編 #7,盥回篇 #7,
0x1a49b,0x1c4ae,11,盥回し編 #8,盥回篇 #8,
0x1a4c2,0x1c4e8,12,盥回し編 END,盥回篇 END,
0x1a4e2,0x1c51a,21,盥回し編 お疲れさま会,盥回篇 慰劳会,
0x1a50b,0x1c54c,11,祟殺し編 #1,祟杀篇 #1,
0x1a532,0x1c586,11,祟殺し編 #2,祟杀篇 #2,
0x1a559,0x1c5c0,11,祟殺し編 #3,祟杀篇 #3,
0x1a580,0x1c5fa,11,祟殺し編 #4,祟杀篇 #4,
0x1a5a7,0x1c634,11,祟殺し編 #5,祟杀篇 #5,
0x1a5ce,0x1c66e,11,祟殺し編 #6,祟杀篇 #6,
0x1a5f5,0x1c6a8,11,祟殺し編 #7,祟杀篇 #7,
0x1a61c,0x1c6e2,11,祟殺し編 #8,祟杀篇 #8,
0x1a643,0x1c71c,11,祟殺し編 #9,祟杀篇 #9,
0x1a66a,0x1c756,12,祟殺し編 #10,祟杀篇 #10,
0x1a692,0x1c790,12,祟殺し編 #11,祟杀篇 #11,
0x1a6ba,0x1c7ca,12,祟殺し編 #12,祟杀篇 #12,
0x1a6e2,0x1c804,12,祟殺し編 #13,祟杀篇 #13,
0x1a70a,0x1c83e,12,祟殺し編 #14,祟杀篇 #14,
0x1a732,0x1c878,12,祟殺し編 #15,祟杀篇 #15,
0x1a75a,0x1c8b2,12,祟殺し編 END,祟杀篇 END,
0x1a77a,0x1c8e4,21,祟殺し編 お疲れさま会,祟杀篇 慰劳会,
0x1a7a3,0x1c916,11,憑落し編 #1,凭落篇 #1,
0x1a7ca,0x1c950,11,憑落し編 #2,凭落篇 #2,
0x1a7f1,0x1c98a,11,憑落し編 #3,凭落篇 #3,
0x1a818,0x1c9c4,11,憑落し編 #4,凭落篇 #4,
0x1a83f,0x1c9fe,11,憑落し編 #5,凭落篇 #5,
0x1a866,0x1ca38,11,憑落し編 #6,凭落篇 #6,
0x1a88d,0x1ca72,11,憑落し編 #7,凭落篇 #7,
0x1a8b4,0x1caac,11,憑落し編 #8,凭落篇 #8,
0x1a8db,0x1cae6,11,憑落し編 #9,凭落篇 #9,
0x1a902,0x1cb20,12,憑落し編 #10,凭落篇 #10,
