offset,length,text,translation
0x13cb35,6,レナ,
0x13cb76,3,弘,
0x13cbae,6,花田,
0x13cbb5,9,窒息死,
0x13cbce,3,充,
0x13cbde,9,フラグ,
0x13cbe8,6,大杉,
0x13cbef,9,千年杉,
0x13cbf9,6,三船,
0x13cc00,9,リトル,
0x13cc0a,5,27名,
0x13cc1c,9,ここぎ,
0x13cc26,12,宮田光貴,
0x13cc33,18,シエル・南野,
0x13cc46,6,桜桃,
0x13cc59,18,プロファイル,
0x13cc6c,6,歌姫,
0x13cc7b,6,野村,
0x13cc82,6,前野,
0x13cc89,12,尾八白様,
0x13ccae,12,ひぐしげ,
0x13ccbb,9,荘川村,
0x13ccc5,6,三佐,
0x13cccc,15,ボールペン,
0x13cce4,9,キース,
0x13ccee,12,キャット,
0x13ccfb,12,園崎詩音,
0x13cd20,15,北城沙都子,
0x13cd38,18,テレビゲーム,
0x13cd53,18,ビーフカレー,
0x13cd72,6,水飴,
0x13cd79,6,行司,
0x13cd80,21,ジャンクフード,
0x13cd96,18,ひじゃくかん,
0x13cdc1,15,魅音と詩音,
0x13cdd1,9,にいや,
0x13cddb,15,そぼろ弁当,
0x13cdeb,6,七日,
0x13cdfa,21,ピンチヒッター,
0x13ce1c,15,前原ホテル,
0x13ce2c,21,エジプト旅行中,
0x13ce42,18,前原コゴロウ,
0x13ce55,18,沙都子の叔母,
0x13ce68,27,とっても可愛い！！,
0x13ce84,9,鬼の国,
0x13ce96,9,睡眠薬,
0x13cea0,11,昭和53年,
0x13ceac,9,イロハ,
0x13ceb6,24,外来の自己負担額,
0x13cecf,12,引き分け,
0x13cf38,140,追加コンテンツがインストールされていないため、@rこのセーブデータをロードすることはできません。,
0x13d101,14,%d時間 %d分,
0x13d120,27,B1 Ｃ１０３投与実験,
0x13d13c,27,B5 二番目の「検体」,
0x13d158,15,G2 新しい風,
0x13d168,18,H4 北条沙都子,
0x13d17b,15,Z4 ヒントⅩ,
0x13d18b,24,白川公園転落事故,
0x13d1a4,24,古手夫妻怪死事件,
0x13d20e,6,三郎,
0x13d215,18,ファイターズ,
0x13d228,6,幸一,
0x13d237,6,殺人,
0x13d246,6,安藤,
0x13d24d,6,麻雀,
0x13d260,6,絶食,
0x13d267,9,第零室,
0x13d292,6,鉄平,
0x13d299,9,水戸大,
0x13d2aa,12,おこのぎ,
